      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00790     0.03000   0.12000   0.01470       0.00000     0.00000
          Ex_d0       2           0.93720     0.93720     0.00000     0.00000   0.07288   0.00953       3.53953     0.71162
          Ex_d0       3           1.04155     1.04155     0.00000     0.00000   0.07677   0.04768       6.75996     4.13231
          Ex_d0       4           1.12136     1.12136     0.00000     0.00000   0.10179   0.00807       9.03148     7.07248
          Ex_d0       5           1.40000     1.40000     0.00000     0.00000   0.05000   0.04760      29.37830     6.70031
          Ex_d0       6           1.60000     1.60000     0.00000     0.00000   0.05000   0.01527       0.08730     0.28645
          Ex_d0       7           1.90000     1.90000     0.00000     0.00000   0.05000   0.05490       0.41896     0.25823
          Ex_d0       8           1.70081     1.70081     0.00000     0.00000   0.05166   0.05375       0.28010     0.36497
          Ex_d0       9           2.52335     2.52335     0.00000     0.00000   0.05000   0.05999       0.00000     1.11956
          Ex_d1       1           0.00000     0.02699     0.00183     0.02699   0.05514   0.00126       0.00467    15.36390
          Ex_d1       2           0.93720     0.93720     0.00000     0.00000   0.06439   0.00089       2.69446     0.10325
          Ex_d1       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.00050       6.60902     0.18093
          Ex_d1       4           1.12136     1.12136     0.00000     0.00000   0.08590   0.00065       2.86957     0.20600
          Ex_d1       5           1.40000     1.40000     0.00000     0.00000   0.05000   0.00173      24.53580     0.31894
          Ex_d1       6           1.60000     1.60000     0.00000     0.00000   0.09374   0.00589       0.52786     0.05449
          Ex_d1       7           1.90000     1.90000     0.00000     0.00000   0.12000   0.00096       1.12547     0.10461
          Ex_d1       8           1.70081     1.70081     0.00000     0.00000   0.05107   0.04065       1.18229     0.07807
          Ex_d1       9           2.52335     2.52335     0.00000     0.00000   0.06506   0.01261       0.00000   126.25500
          Ex_d1      10           3.06184     3.06184     0.00000     0.00000   0.08950   0.00121       0.13952     0.04213
          Ex_d1      11           3.35820     3.35820     0.00000     0.00000   0.05083   0.00208       8.08599     0.17778
          Ex_d1      12           3.72419     3.72419     0.00000     0.00000   0.12000   0.00012       1.23030     0.07996
          Ex_d1      13           3.83917     3.83917     0.00000     0.00000   0.12000   0.00016       5.45826     0.17520
          Ex_d1      14           4.11590     4.11590     0.00000     0.00000   0.07568   0.00217      10.84990     0.19480
          Ex_d2       1           0.00000     0.03000     0.03732     0.03000   0.05499   0.00956       2.03886     0.10340
          Ex_d2       2           0.93720     0.93720     0.00000     0.00000   0.08375   0.00977       2.01302     0.61043
          Ex_d2       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.05888       7.50723     1.58874
          Ex_d2       4           1.12136     1.12136     0.00000     0.00000   0.09340   0.00600       0.05904     7.51706
          Ex_d2       5           1.40000     1.40000     0.00000     0.00000   0.05004   0.05717      21.37770     2.42854
          Ex_d2       6           1.60000     1.60000     0.00000     0.00000   0.05002   0.05922       0.07294     0.23294
          Ex_d2       7           1.90000     1.90000     0.00000     0.00000   0.12000   0.05795       0.00000     0.14628
          Ex_d2       8           1.70081     1.70081     0.00000     0.00000   0.07000   0.02609       0.13944     0.26933
          Ex_d2       9           2.52335     2.52335     0.00000     0.00000   0.05840   0.05311       0.48914     0.33678
          Ex_d2      10           3.06184     3.06184     0.00000     0.00000   0.07959   0.00791       0.62127     0.77609
          Ex_d2      11           3.35820     3.35820     0.00000     0.00000   0.05000   0.05975       8.98676     1.45183
          Ex_d2      12           3.72419     3.72419     0.00000     0.00000   0.07292   0.05746       0.00000     0.28427
          Ex_d2      13           3.83917     3.83917     0.00000     0.00000   0.12000   0.00461       2.94766     2.66975
          Ex_d2      14           4.11590     4.11590     0.00000     0.00000   0.06811   0.00612       9.35089     1.95568
          Ex_d2      15           4.36015     4.36015     0.00000     0.00000   0.12000   0.05043      17.70250     2.26533
          Ex_d2      16           4.65200     4.65200     0.00000     0.00000   0.09569   0.00491       4.70566     2.23503
          Ex_d2      17           4.75300     4.75300     0.00000     0.00000   0.11991   0.05857      41.26740     3.16760
          Ex_d2      18           4.96360     4.96360     0.00000     0.00000   0.07139   0.00539       0.00000     0.83804
          Ex_d2      19           5.29760     5.29760     0.00000     0.00000   0.10372   0.05508      13.58770     1.63184
          Ex_d3       1           0.00000     0.03000     0.00031     0.03000   0.05674   0.00390       0.83500     0.58377
          Ex_d3       2           0.93720     0.93720     0.00000     0.00000   0.05000   0.00015       0.56208     0.05626
          Ex_d3       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.03541       1.06549     0.10351
          Ex_d3       4           1.12136     1.12136     0.00000     0.00000   0.12000   0.00035       0.00000     0.01324
          Ex_d3       5           1.40000     1.40000     0.00000     0.00000   0.12000   0.01050      21.51010     0.22498
          Ex_d3       6           1.60000     1.60000     0.00000     0.00000   0.08910   0.04872       0.35713     0.07012
          Ex_d3       7           1.90000     1.90000     0.00000     0.00000   0.05000   0.00398       0.00000     5.37739
          Ex_d3       8           1.70081     1.70081     0.00000     0.00000   0.05000   0.00292       0.10962     0.04736
          Ex_d3       9           2.52335     2.52335     0.00000     0.00000   0.05000   0.00224       0.07267     0.03317
          Ex_d3      10           3.06184     3.06184     0.00000     0.00000   0.07909   0.00119       0.12849     0.02929
          Ex_d3      11           3.35820     3.35820     0.00000     0.00000   0.12000   0.05660       5.65640     0.14060
          Ex_d3      12           3.72419     3.72419     0.00000     0.00000   0.05793   0.00184       1.25281     0.59435
          Ex_d3      13           3.83917     3.83917     0.00000     0.00000   0.06933   0.00113       2.39859     0.12626
          Ex_d3      14           4.11590     4.11590     0.00000     0.00000   0.07721   0.00075       8.47075     0.20167
          Ex_d3      15           4.36015     4.36015     0.00000     0.00000   0.12000   0.00384      16.03010     0.24503
          Ex_d3      16           4.65200     4.65200     0.00000     0.00000   0.06541   0.00051       2.89595     0.14087
          Ex_d3      17           4.75300     4.75300     0.00000     0.00000   0.12000   0.00064      22.42640     0.29094
          Ex_d3      18           4.96360     4.96360     0.00000     0.00000   0.06084   0.00087       6.18822     0.21227
