      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00000     0.03000   0.12000   0.00000       0.00000     0.00000
          Ex_d0       2           0.93720     0.96307     0.00000     0.02587   0.07638   0.00000       3.54762     0.00000
          Ex_d0       3           1.08054     1.07155     0.00000    -0.00899   0.06143   0.00000      13.48920     0.00000
          Ex_d0       4           1.12136     1.15136     0.00000     0.03000   0.08907   0.00000      10.35080     0.00000
          Ex_d0       5           1.40000     1.37086     0.00000    -0.02914   0.05000   0.00000      21.13530     0.00000
          Ex_d0       6           1.60000     1.60684     0.00000     0.00684   0.05000   0.00000       0.35890     0.00000
          Ex_d0       7           1.90000     1.93000     0.00000     0.03000   0.05778   0.00000       0.43477     0.00000
          Ex_d0       8           1.70081     1.72858     0.00000     0.02777   0.05000   0.00000       0.35967     0.00000
          Ex_d0       9           2.52335     2.55314     0.00000     0.02979   0.05001   0.00000       0.00000     0.00000
          Ex_d1       1           0.00000     0.02731     0.00000     0.02731   0.05591   0.00000       0.07527     0.00000
          Ex_d1       2           0.93720     0.90720     0.00000    -0.03000   0.05260   0.00000       2.72722     0.00000
          Ex_d1       3           1.04155     1.03045     0.00000    -0.01110   0.05115   0.00000       5.14495     0.00000
          Ex_d1       4           1.12136     1.13968     0.00000     0.01832   0.07913   0.00000       8.37329     0.00000
          Ex_d1       5           1.40000     1.42055     0.00000     0.02055   0.05007   0.00000      20.82060     0.00000
          Ex_d1       6           1.60000     1.62569     0.00000     0.02569   0.05191   0.00000       0.71933     0.00000
          Ex_d1       7           1.90000     1.92988     0.00000     0.02988   0.12000   0.00000       0.51939     0.00000
          Ex_d1       8           1.70081     1.70164     0.00000     0.00083   0.09386   0.00000       1.15257     0.00000
          Ex_d1       9           2.52335     2.55335     0.00000     0.03000   0.12000   0.00000       0.44965     0.00000
          Ex_d1      10           3.06184     3.03184     0.00000    -0.03000   0.09625   0.00000       0.29246     0.00000
          Ex_d1      11           3.35820     3.38820     0.00000     0.03000   0.06766   0.00000      10.19820     0.00000
          Ex_d1      12           3.72419     3.69419     0.00000    -0.03000   0.12000   0.00000       1.50065     0.00000
          Ex_d1      13           3.83917     3.86917     0.00000     0.03000   0.09172   0.00000       7.78327     0.00000
          Ex_d1      14           4.11590     4.08590     0.00000    -0.03000   0.08188   0.00000       8.49736     0.00000
