      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00790     0.03000   0.12000   0.01468       0.00000     0.00000
          Ex_d0       2           0.93720     0.93720     0.00000     0.00000   0.07286   0.00954       3.53976     0.71193
          Ex_d0       3           1.04155     1.04155     0.00000     0.00000   0.07660   0.05172       6.77710     4.09890
          Ex_d0       4           1.12136     1.12136     0.00000     0.00000   0.10177   0.00806       8.99262     7.42066
          Ex_d0       5           1.40000     1.40000     0.00000     0.00000   0.05000   0.04756      29.40100     6.65081
          Ex_d0       6           1.60000     1.60000     0.00000     0.00000   0.05000   0.01527       0.08778     0.28812
          Ex_d0       7           1.90000     1.90000     0.00000     0.00000   0.05000   0.05494       0.41923     0.25896
          Ex_d0       8           1.70081     1.70081     0.00000     0.00000   0.09414   0.05683       0.28052     0.36679
          Ex_d0       9           2.52335     2.52335     0.00000     0.00000   0.11997   0.06041       0.00000     0.41285
          Ex_d1       1           0.00000     0.02699     0.00988     0.02699   0.05514   0.00987       0.00604     5.79987
          Ex_d1       2           0.93720     0.93720     0.00000     0.00000   0.06440   0.00559       2.69447     0.78856
          Ex_d1       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.01442       6.60909     1.24362
          Ex_d1       4           1.12136     1.12136     0.00000     0.00000   0.08590   0.00504       2.86957     1.76113
          Ex_d1       5           1.40000     1.40000     0.00000     0.00000   0.05000   0.05588      24.53570     2.56505
          Ex_d1       6           1.60000     1.60000     0.00000     0.00000   0.09370   0.04785       0.52811     0.69751
          Ex_d1       7           1.90000     1.90000     0.00000     0.00000   0.12000   0.04804       1.12471     0.78201
          Ex_d1       8           1.70081     1.70081     0.00000     0.00000   0.05011   0.05222       1.18231     0.68493
          Ex_d1       9           2.52335     2.52335     0.00000     0.00000   0.06509   0.05908       0.00063     6.88937
          Ex_d1      10           3.06184     3.06184     0.00000     0.00000   0.08950   0.00989       0.13962     0.24126
          Ex_d1      11           3.35820     3.35820     0.00000     0.00000   0.05083   0.05528       8.08600     1.39992
          Ex_d1      12           3.72419     3.72419     0.00000     0.00000   0.12000   0.00373       1.23032     1.40058
          Ex_d1      13           3.83917     3.83917     0.00000     0.00000   0.12000   0.00480       5.45823     1.52947
          Ex_d1      14           4.11590     4.11590     0.00000     0.00000   0.07568   0.01377      10.84990     1.75020
          Ex_d2       1           0.00000     0.02998     0.00831     0.02998   0.05519   0.01018       2.03886     0.65716
          Ex_d2       2           0.93720     0.93720     0.00000     0.00000   0.08380   0.00968       2.02307     0.62973
          Ex_d2       3           1.04155     1.04155     0.00000     0.00000   0.05006   0.00087       7.50777     1.50982
