      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00782     0.03000   0.12000   0.01420       0.00000     0.00000
          Ex_d0       2           0.93720     0.96315     0.03453     0.02595   0.07640   0.01042       3.54734     0.70337
          Ex_d0       3           1.08054     1.07155     0.04007    -0.00899   0.06140   0.01739      13.50790     4.06712
          Ex_d0       4           1.12136     1.15136     0.04649     0.03000   0.08898   0.00919      10.33480     5.35633
          Ex_d0       5           1.40000     1.37000     0.05121    -0.03000   0.05000   0.01469      21.12520     4.69737
          Ex_d0       6           1.60000     1.60675     0.01999     0.00675   0.05000   0.04340       0.36504     0.46844
          Ex_d0       7           1.90000     1.93000     0.05869     0.03000   0.05780   0.03603       0.43461     0.43912
          Ex_d0       8           1.70081     1.71550     0.03221     0.01469   0.07130   0.04071       0.35945     0.32425
          Ex_d0       9           2.52335     2.55332     0.04967     0.02997   0.05164   0.05276       0.00000     0.40905
          Ex_d1       1           0.00000     0.02792     0.00656     0.02792   0.05543   0.00930       0.06698     5.80101
          Ex_d1       2           0.93720     0.90720     0.01252    -0.03000   0.05243   0.00468       2.73777     0.76759
          Ex_d1       3           1.04155     1.03582     0.01233    -0.00573   0.05488   0.00987       5.11351     0.98996
          Ex_d1       4           1.12136     1.14847     0.00442     0.02711   0.07406   0.00615      10.70810     2.36385
          Ex_d1       5           1.40000     1.42178     0.04389     0.02178   0.09316   0.03568      18.25670     2.92396
          Ex_d1       6           1.60000     1.61921     0.01291     0.01921   0.09011   0.04049       0.94622     0.58796
          Ex_d1       7           1.90000     1.92625     0.01173     0.02625   0.11975   0.01222       0.75044     0.81527
          Ex_d1       8           1.70081     1.67097     0.04728    -0.02984   0.05000   0.00002       1.20753     0.49222
          Ex_d1       9           2.52335     2.55328     0.00015     0.02993   0.11910   0.04474       0.16245     0.24245
          Ex_d1      10           3.06184     3.03184     0.00136    -0.03000   0.09631   0.00823       0.29966     0.34190
          Ex_d1      11           3.35820     3.38594     0.00467     0.02774   0.06618   0.01723      10.19950     1.43695
          Ex_d1      12           3.72419     3.69419     0.03771    -0.03000   0.11999   0.01273       1.47332     0.59625
          Ex_d1      13           3.83917     3.86917     0.01299     0.03000   0.09163   0.01788       7.80751     1.55337
          Ex_d1      14           4.11590     4.08590     0.01165    -0.03000   0.08239   0.01481       8.45230     2.08015
          Ex_d2       1           0.00000     0.03000     0.03733     0.03000   0.05495   0.00953       2.98883     0.98237
          Ex_d2       2           0.93720     0.94845     0.02307     0.01125   0.08381   0.01535       2.01116     0.60856
          Ex_d2       3           1.08054     1.06439     0.03169    -0.01615   0.05000   0.04786       9.53354     2.36611
          Ex_d2       4           1.12136     1.15136     0.04046     0.03000   0.08196   0.00617       3.66546     4.26384
          Ex_d2       5           1.40000     1.42408     0.05369     0.02408   0.05000   0.05345      15.78320     2.31346
          Ex_d2       6           1.60000     1.63000     0.05100     0.03000   0.05023   0.05782       0.11796     0.23119
          Ex_d2       7           1.90000     1.87000     0.05111    -0.03000   0.12000   0.05892       0.00000     5.73310
          Ex_d2       8           1.70081     1.73081     0.04047     0.03000   0.05567   0.03998       0.11324     0.30273
          Ex_d2       9           2.52335     2.50364     0.01578    -0.01971   0.05000   0.04488       0.55763     0.51402
          Ex_d2      10           3.06184     3.06445     0.00756     0.00261   0.07999   0.00771       0.85499     0.90394
          Ex_d2      11           3.35820     3.38820     0.04974     0.03000   0.05000   0.05938       9.00828     1.42489
          Ex_d2      12           3.72419     3.71735     0.02110    -0.00684   0.05000   0.04731       0.01022     0.53316
          Ex_d2      13           3.79149     3.80917     0.04163     0.01768   0.12000   0.00889       1.58179     1.76638
          Ex_d2      14           4.11590     4.10550     0.00648    -0.01040   0.07575   0.00766       9.86304     1.65566
          Ex_d2      15           4.39810     4.38061     0.04876    -0.01749   0.08049   0.04997      19.73220     2.63514
          Ex_d2      16           4.65200     4.63259     0.00559    -0.01941   0.08631   0.00567       3.55193     2.39172
          Ex_d2      17           4.75300     4.75213     0.04302    -0.00087   0.11113   0.06409      40.44930     3.50856
          Ex_d2      18           4.96360     4.94042     0.00792    -0.02318   0.08085   0.00712       0.00000    27.48810
          Ex_d2      19           5.29760     5.26760     0.04651    -0.03000   0.11625   0.06087      15.93330     2.00512
          Ex_d3       1           0.00000     0.03000     0.00000     0.03000   0.05262   0.00000       0.96310     0.65200
          Ex_d3       2           0.93720     0.94105     0.00000     0.00385   0.05000   0.00000       0.51918     0.00000
          Ex_d3       3           1.04155     1.03230     0.00000    -0.00925   0.05000   0.00000       2.66393     0.00000
          Ex_d3       4           1.12136     1.15136     0.00000     0.03000   0.11437   0.00000       0.36584     0.00000
          Ex_d3       5           1.40000     1.37012     0.00000    -0.02988   0.05068   0.00000      20.46370     0.00000
          Ex_d3       6           1.60000     1.57000     0.00000    -0.03000   0.05000   0.00000       0.00000     0.00000
          Ex_d3       7           1.90000     1.92751     0.00000     0.02751   0.05000   0.00000       0.02786     0.00000
          Ex_d3       8           1.70081     1.70583     0.00000     0.00502   0.05000   0.00000       0.08255     0.00000
