      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00910     0.03000   0.12000   0.04428       0.00000     0.00000
          Ex_d0       2           0.93720     0.93720     0.00000     0.00000   0.07289   0.01008       3.53956     1.42303
          Ex_d0       3           1.04155     1.04155     0.00000     0.00000   0.07681   0.04833       6.75613     4.77193
          Ex_d0       4           1.12136     1.12136     0.00000     0.00000   0.10179   0.00868       9.03912     7.41974
          Ex_d0       5           1.40000     1.40000     0.00000     0.00000   0.05000   0.05450      29.37370     7.61675
          Ex_d0       6           1.60000     1.60000     0.00000     0.00000   0.05000   0.04474       0.08728     0.29365
          Ex_d0       7           1.90000     1.90000     0.00000     0.00000   0.05000   0.06973       0.41887     0.43839
          Ex_d0       8           1.70081     1.70081     0.00000     0.00000   0.05016   0.05976       0.28012     0.43716
          Ex_d0       9           2.52335     2.52335     0.00000     0.00000   0.05009   0.04504       0.00000     1.14213
          Ex_d1       1           0.00000     0.02699     0.00144     0.02699   0.05514   0.00099       0.00560     5.72125
          Ex_d1       2           0.93720     0.93720     0.00000     0.00000   0.06440   0.00070       2.69450     0.08123
          Ex_d1       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.00031       6.60909     0.14234
          Ex_d1       4           1.12136     1.12136     0.00000     0.00000   0.08590   0.00051       2.86952     0.16145
          Ex_d1       5           1.40000     1.40000     0.00000     0.00000   0.05000   0.00107      24.53590     0.25089
          Ex_d1       6           1.60000     1.60000     0.00000     0.00000   0.09379   0.00462       0.52758     0.04195
          Ex_d1       7           1.90000     1.90000     0.00000     0.00000   0.12000   0.00060       1.12640     0.08184
          Ex_d1       8           1.70081     1.70081     0.00000     0.00000   0.05197   0.06072       1.18222     0.06115
          Ex_d1       9           2.52335     2.52335     0.00000     0.00000   0.06506   0.01005       0.00000   108.23600
          Ex_d1      10           3.06184     3.06184     0.00000     0.00000   0.08950   0.00095       0.13951     0.03333
          Ex_d1      11           3.35820     3.35820     0.00000     0.00000   0.05083   0.00165       8.08600     0.13985
          Ex_d1      12           3.72419     3.72419     0.00000     0.00000   0.12000   0.00008       1.23031     0.06303
          Ex_d1      13           3.83917     3.83917     0.00000     0.00000   0.12000   0.00010       5.45817     0.13780
          Ex_d1      14           4.11590     4.11590     0.00000     0.00000   0.07568   0.00171      10.85000     0.15308
          Ex_d2       1           0.00000     0.03000     0.03724     0.03000   0.05464   0.00949       2.03886     0.08135
          Ex_d2       2           0.93720     0.93720     0.00000     0.00000   0.08337   0.00972       1.99519     0.60669
