      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00789     0.03000   0.12000   0.01439       0.00000     0.00000
          Ex_d0       2           0.93720     0.96303     0.04911     0.02583   0.07636   0.01045       3.54744     0.70669
          Ex_d0       3           1.08054     1.07155     0.04040    -0.00899   0.06144   0.01746      13.48510     4.08857
          Ex_d0       4           1.12136     1.15136     0.04686     0.03000   0.08903   0.00926      10.36070     5.37564
          Ex_d0       5           1.40000     1.37038     0.04834    -0.02962   0.05000   0.01478      21.12590     4.74400
          Ex_d0       6           1.60000     1.60679     0.02007     0.00679   0.05000   0.04321       0.36202     0.47157
          Ex_d0       7           1.90000     1.93000     0.04582     0.03000   0.05782   0.05426       0.43456     0.43759
          Ex_d0       8           1.70081     1.73080     0.05083     0.02999   0.05000   0.05965       0.35977     0.41059
          Ex_d0       9           2.52335     2.55038     0.05504     0.02703   0.05000   0.05980       0.00000     0.40549
          Ex_d1       1           0.00000     0.02728     0.00913     0.02728   0.05593   0.01062       0.06699     5.40796
          Ex_d1       2           0.93720     0.90720     0.01330    -0.03000   0.05256   0.00502       2.72813     0.81647
          Ex_d1       3           1.04155     1.02934     0.01039    -0.01221   0.05025   0.00601       5.15694     1.02007
          Ex_d1       4           1.12136     1.13855     0.00900     0.01719   0.07928   0.00617       8.07783     1.85719
          Ex_d1       5           1.40000     1.41537     0.03692     0.01537   0.05000   0.05569      21.09730     2.72390
          Ex_d1       6           1.60000     1.62937     0.05455     0.02937   0.08580   0.05161       0.66017     0.80552
          Ex_d1       7           1.90000     1.93000     0.05485     0.03000   0.12000   0.04564       1.04653     0.78352
          Ex_d1       8           1.70081     1.68847     0.03825    -0.01234   0.09912   0.05288       1.18839     0.65318
          Ex_d1       9           2.52335     2.55335     0.05991     0.03000   0.11999   0.06803       0.02335     0.17156
          Ex_d1      10           3.06184     3.03184     0.00137    -0.03000   0.09628   0.00820       0.29428     0.34206
          Ex_d1      11           3.35820     3.38820     0.04514     0.03000   0.06761   0.01747      10.19940     1.43884
          Ex_d1      12           3.72419     3.69419     0.03780    -0.03000   0.12000   0.01339       1.49968     0.60928
          Ex_d1      13           3.83917     3.86917     0.01314     0.03000   0.09175   0.01812       7.78308     1.57538
          Ex_d1      14           4.11590     4.08590     0.03803    -0.03000   0.08190   0.01508       8.49849     2.10245
          Ex_d2       1           0.00000     0.03000     0.00000     0.03000   0.05488   0.00000       2.97514     1.00026
          Ex_d2       2           0.93720     0.94837     0.00000     0.01117   0.08369   0.00000       2.00721     0.00000
          Ex_d2       3           1.08054     1.06441     0.00000    -0.01613   0.05000   0.00000       9.52008     0.00000
          Ex_d2       4           1.12136     1.15136     0.00000     0.03000   0.08194   0.00000       3.67642     0.00000
          Ex_d2       5           1.40000     1.42343     0.00000     0.02343   0.05000   0.00000      15.77780     0.00000
          Ex_d2       6           1.60000     1.61401     0.00000     0.01401   0.05000   0.00000       0.11554     0.00000
          Ex_d2       7           1.90000     1.87000     0.00000    -0.03000   0.05000   0.00000       0.02286     0.00000
          Ex_d2       8           1.70081     1.73081     0.00000     0.03000   0.05000   0.00000       0.08594     0.00000
          Ex_d2       9           2.52335     2.50364     0.00000    -0.01971   0.05000   0.00000       0.54881     0.00000
          Ex_d2      10           3.06184     3.06443     0.00000     0.00259   0.07991   0.00000       0.85165     0.00000
          Ex_d2      11           3.35820     3.38820     0.00000     0.03000   0.05000   0.00000       9.00384     0.00000
          Ex_d2      12           3.72419     3.72052     0.00000    -0.00367   0.08302   0.00000       0.01822     0.00000
          Ex_d2      13           3.83917     3.86917     0.00000     0.03000   0.12000   0.00000       4.69224     0.00000
          Ex_d2      14           4.11590     4.10724     0.00000    -0.00866   0.07097   0.00000       7.62458     0.00000
          Ex_d2      15           4.39810     4.39015     0.00000    -0.00795   0.10335   0.00000      18.43770     0.00000
          Ex_d2      16           4.65200     4.62200     0.00000    -0.03000   0.07739   0.00000       4.87095     0.00000
          Ex_d2      17           4.75300     4.72729     0.00000    -0.02571   0.05000   0.00000      34.80760     0.00000
          Ex_d2      18           4.96360     4.93697     0.00000    -0.02663   0.08278   0.00000       4.26614     0.00000
          Ex_d2      19           5.29760     5.26760     0.00000    -0.03000   0.11589   0.00000      16.46010     0.00000
          Ex_d3       1           0.00000     0.03000     0.00011     0.03000   0.05000   0.00003       0.95138     0.00000
          Ex_d3       2           0.93720     0.94300     0.01107     0.00580   0.05000   0.00220       0.50710     0.24644
          Ex_d3       3           1.08054     1.07135     0.00082    -0.00919   0.07975   0.02092       2.79292     0.74688
          Ex_d3       4           1.12136     1.15136     0.00661     0.03000   0.11428   0.00600       0.00002     1.72388
          Ex_d3       5           1.40000     1.37001     0.00009    -0.02999   0.05000   0.00002      20.68410     1.84729
          Ex_d3       6           1.60000     1.57000     0.00001    -0.03000   0.05000   0.00001       0.00000     0.42490
          Ex_d3       7           1.90000     1.92842     0.03004     0.02842   0.05000   0.00001       0.03510     0.12339
          Ex_d3       8           1.70081     1.73031     0.00793     0.02950   0.05000   0.00001       0.07830     0.20912
          Ex_d3       9           2.52335     2.49335     0.00003    -0.03000   0.05000   0.00003       0.05773     0.29055
          Ex_d3      10           3.06184     3.08835     0.00895     0.02651   0.07721   0.00913       0.19654     0.22970
          Ex_d3      11           3.35820     3.32820     0.00009    -0.03000   0.10179   0.04319       6.20775     1.18631
          Ex_d3      12           3.72419     3.75406     0.01088     0.02987   0.06713   0.01120       1.08807     0.65319
          Ex_d3      13           3.83917     3.86681     0.03277     0.02764   0.05319   0.05112       5.24713     1.75677
          Ex_d3      14           4.11590     4.11277     0.00687    -0.00313   0.07540   0.00748       5.60599     5.50142
          Ex_d3      15           4.36015     4.33015     0.05959    -0.03000   0.11999   0.06349      15.65960     2.15254
          Ex_d3      16           4.65200     4.63921     0.01009    -0.01279   0.06094   0.00689       3.27894     1.91468
          Ex_d3      17           4.75300     4.75601     0.04332     0.00301   0.05014   0.06945      23.29900     3.25881
          Ex_d3      18           4.96360     4.94278     0.01035    -0.02082   0.06806   0.00994       3.69208     5.70909
          Ex_d3      19           5.29760     5.29337     0.02002    -0.00423   0.05934   0.01862       9.79680     1.85260
          Ex_d4       1           0.00000    -0.02996     0.05051    -0.02996   0.05000   0.05979       0.93773     0.48330
          Ex_d4       2           0.93720     0.96720     0.04960     0.03000   0.06647   0.04297       0.00000     1.28740
          Ex_d4       3           1.08054     1.07155     0.05100    -0.00899   0.05000   0.05976       0.51870     0.73218
          Ex_d4       4           1.12136     1.15136     0.04110     0.03000   0.10607   0.01962       0.00000     1.52511
          Ex_d4       5           1.40000     1.37000     0.00826    -0.03000   0.05000   0.00505       6.45496     1.50663
          Ex_d4       6           1.60000     1.57000     0.04249    -0.03000   0.05000   0.04719       1.35976     0.57357
          Ex_d4       7           1.90000     1.92686     0.05495     0.02686   0.05000   0.05981       0.20667     0.27894
          Ex_d4       8           1.70081     1.73081     0.04948     0.03000   0.05000   0.05307       1.60476     3.96425
          Ex_d4       9           2.52335     2.49335     0.04442    -0.03000   0.12000   0.05120       0.33308     0.54408
          Ex_d4      10           3.06184     3.09184     0.04350     0.03000   0.09412   0.01456       0.55169     0.57044
          Ex_d4      11           3.35820     3.38820     0.03784     0.03000   0.05000   0.04308       3.10785     0.76884
          Ex_d4      12           3.72419     3.75419     0.04917     0.03000   0.05000   0.05425       0.53001     0.52400
          Ex_d4      13           3.83917     3.86917     0.04012     0.03000   0.05023   0.05081       1.35307     1.53710
          Ex_d4      14           4.11590     4.14230     0.00958     0.02640   0.08278   0.01017       4.73171     4.84073
          Ex_d4      15           4.39810     4.39015     0.04758    -0.00795   0.12000   0.05507       7.10054     1.29316
          Ex_d4      16           4.65200     4.66031     0.00686     0.00831   0.06575   0.00706       1.67770     0.99135
          Ex_d4      17           4.75300     4.72300     0.05124    -0.03000   0.05001   0.06016       9.55387     1.54044
