      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00079     0.03000   0.12000   0.00156       0.00000     0.00000
          Ex_d0       2           0.93720     0.93720     0.00000     0.00000   0.07107   0.00198       3.56307     0.16174
          Ex_d0       3           1.04155     1.04155     0.00000     0.00000   0.08086   0.00459       7.04082     0.35806
          Ex_d0       4           1.08054     1.08054     0.00000     0.00000   0.05000   0.00780       6.89209     0.60769
          Ex_d0       5           1.12136     1.12136     0.00000     0.00000   0.10423   0.00118       2.75981     0.58558
          Ex_d0       6           1.40000     1.40000     0.00000     0.00000   0.05000   0.00535      28.59060     0.58490
          Ex_d0       7           1.60000     1.60000     0.00000     0.00000   0.05000   0.00191       0.06786     0.06489
          Ex_d0       8           1.90000     1.90000     0.00000     0.00000   0.05000   0.04348       0.43985     0.06407
          Ex_d0       9           1.70081     1.70081     0.00000     0.00000   0.05824   0.06404       0.28531     0.25379
          Ex_d0      10           2.10061     2.10061     0.00000     0.00000   0.12000   0.06989       0.00000    97.49290
          Ex_d0      11           2.52335     2.52335     0.00000     0.00000   0.11769   0.06811       0.10710     0.08533
          Ex_d1       1           0.00000     0.02725     0.00898     0.02725   0.05591   0.00954       0.05532     0.09689
          Ex_d1       2           0.93720     0.93720     0.00000     0.00000   0.06481   0.00555       2.72766     0.77082
          Ex_d1       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.01194       6.65183     1.24509
          Ex_d1       4           1.08054     1.08054     0.00000     0.00000   0.05001   0.05926       2.84410     1.69570
          Ex_d1       5           1.12136     1.12136     0.00000     0.00000   0.08606   0.00503       0.00000    19.02730
          Ex_d1       6           1.40000     1.40000     0.00000     0.00000   0.05000   0.04675      24.58920     2.56589
          Ex_d1       7           1.60000     1.60000     0.00000     0.00000   0.12000   0.05553       0.42371     0.51827
          Ex_d1       8           1.90000     1.90000     0.00000     0.00000   0.07657   0.04827       1.45959     1.02002
