      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00889     0.03000   0.12000   0.04384       0.00000     0.00000
          Ex_d0       2           0.93720     0.96500     0.05755     0.02780   0.07697   0.01317       3.54614     1.41478
          Ex_d0       3           1.08054     1.07155     0.04436    -0.00899   0.06063   0.01808      13.82770     4.70121
          Ex_d0       4           1.12136     1.10905     0.03755    -0.01231   0.10692   0.06166       9.86441     6.50310
          Ex_d0       5           1.12136     1.15134     0.05091     0.02998   0.08855   0.00930       0.04448    39.71520
          Ex_d0       6           1.40000     1.37022     0.00014    -0.02978   0.05000   0.00001      21.20280     4.88966
          Ex_d0       7           1.60000     1.60805     0.01680     0.00805   0.05002   0.04344       0.38575     0.40605
          Ex_d0       8           1.90000     1.93000     0.03744     0.03000   0.05552   0.01045       0.43562     0.43809
          Ex_d0       9           1.70081     1.67787     0.00413    -0.02294   0.07551   0.00571       0.35450     0.22103
          Ex_d0      10           2.10061     2.13061     0.00002     0.03000   0.05536   0.00287       0.00000     0.46546
          Ex_d0      11           2.52335     2.55285     0.00041     0.02950   0.11546   0.00616       0.00035     0.01164
          Ex_d1       1           0.00000     0.02755     0.00854     0.02755   0.05676   0.00962       0.04543     0.16890
          Ex_d1       2           0.93720     0.90720     0.00963    -0.03000   0.05287   0.00450       2.76309     0.77544
          Ex_d1       3           1.04155     1.02673     0.01690    -0.01482   0.05009   0.04483       5.22463     0.96865
          Ex_d1       4           1.08054     1.09387     0.04706     0.01333   0.05000   0.06877       8.72588     8.73495
          Ex_d1       5           1.12136     1.15136     0.04568     0.03000   0.07594   0.00679       2.78378     5.55375
          Ex_d1       6           1.40000     1.42087     0.04545     0.02087   0.05000   0.05739      17.68500     3.56132
          Ex_d1       7           1.60000     1.62965     0.05970     0.02965   0.05234   0.05840       0.74282     0.90286
          Ex_d1       8           1.90000     1.87530     0.05273    -0.02470   0.08638   0.05153       0.58700     0.87862
          Ex_d1       9           1.70081     1.68458     0.04506    -0.01623   0.07614   0.05584       0.96835     0.92123
          Ex_d1      10           2.10061     2.13061     0.05356     0.03000   0.08041   0.02831       0.30804     0.75823
          Ex_d1      11           2.52335     2.55335     0.04282     0.03000   0.11986   0.06867       0.63589     0.39627
          Ex_d1      12           3.06184     3.03184     0.00131    -0.03000   0.09685   0.00817       0.34024     0.35808
          Ex_d1      13           3.13387     3.10389     0.04673    -0.02998   0.11292   0.03961      10.26950     1.43218
          Ex_d1      14           3.35820     3.38820     0.04265     0.03000   0.06787   0.01638       0.00000     0.23869
          Ex_d1      15           3.72419     3.69419     0.01108    -0.03000   0.12000   0.01019       1.53005     0.58924
          Ex_d1      16           3.83917     3.82140     0.04736    -0.01777   0.05000   0.05390       7.84694     1.44732
          Ex_d1      17           3.83917     3.86917     0.00987     0.03000   0.09153   0.01727       0.00114    10.30290
          Ex_d1      18           4.11590     4.08590     0.01162    -0.03000   0.08349   0.01678       8.45951     2.02402
          Ex_d1      19           4.22580     4.23175     0.03306     0.00595   0.05004   0.05448       3.05685     1.01888
          Ex_d2       1           0.00000     0.03000     0.00495     0.03000   0.05502   0.00988       0.00001     0.84531
          Ex_d2       2           0.93720     0.94843     0.04514     0.01123   0.08386   0.01604       2.01465     0.62329
