      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00922     0.03000   0.12000   0.04423       0.00000     0.00000
          Ex_d0       2           0.93720     0.93720     0.00000     0.00000   0.07082   0.00927       3.54325     1.42642
          Ex_d0       3           1.04155     1.04155     0.00000     0.00000   0.08162   0.02544       6.95581     1.94141
          Ex_d0       4           1.08054     1.08054     0.00000     0.00000   0.05000   0.06464       7.03632     4.70623
          Ex_d0       5           1.12136     1.12136     0.00000     0.00000   0.10429   0.00836       2.76791     5.52790
          Ex_d0       6           1.40000     1.40000     0.00000     0.00000   0.05000   0.00001      28.48410     5.22313
          Ex_d0       7           1.60000     1.60000     0.00000     0.00000   0.05000   0.00001       0.05170     0.41364
          Ex_d0       8           1.90000     1.90000     0.00000     0.00000   0.05000   0.00001       0.42271     0.22763
          Ex_d0       9           1.70081     1.70081     0.00000     0.00000   0.05000   0.00001       0.28427     0.19060
          Ex_d0      10           2.10061     2.10061     0.00000     0.00000   0.05000   0.00001       0.00078     0.14513
          Ex_d0      11           2.52335     2.52335     0.00000     0.00000   0.05000   0.00002       0.01918     0.18222
          Ex_d1       1           0.00000     0.02725     0.00102     0.02725   0.05595   0.00071       0.01593     0.09605
          Ex_d1       2           0.93720     0.93720     0.00000     0.00000   0.06482   0.00049       2.72948     0.05791
          Ex_d1       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.00016       6.65939     0.10137
          Ex_d1       4           1.08054     1.08054     0.00000     0.00000   0.05000   0.04749       2.84127     0.11461
          Ex_d1       5           1.12136     1.12136     0.00000     0.00000   0.08600   0.00037       0.00000     0.22254
          Ex_d1       6           1.40000     1.40000     0.00000     0.00000   0.05000   0.00054      24.58670     0.17864
          Ex_d1       7           1.60000     1.60000     0.00000     0.00000   0.10972   0.00487       0.50573     0.02928
          Ex_d1       8           1.90000     1.90000     0.00000     0.00000   0.06990   0.00371       0.99837     0.06357
          Ex_d1       9           1.70081     1.70081     0.00000     0.00000   0.12000   0.00949       0.50383     0.04820
          Ex_d1      10           2.10061     2.10061     0.00000     0.00000   0.09691   0.00359       0.51492     0.05749
          Ex_d1      11           2.52335     2.52335     0.00000     0.00000   0.06869   0.00686       0.65462     0.03819
          Ex_d1      12           3.06184     3.06184     0.00000     0.00000   0.09005   0.00068       0.17269     0.02538
          Ex_d1      13           3.13387     3.13387     0.00000     0.00000   0.05000   0.04816       8.14650     0.09973
          Ex_d1      14           3.35820     3.35820     0.00000     0.00000   0.05110   0.00116       0.00000     0.46336
          Ex_d1      15           3.72419     3.72419     0.00000     0.00000   0.12000   0.00004       1.25361     0.04499
          Ex_d1      16           3.79149     3.79149     0.00000     0.00000   0.05000   0.03996       5.52562     0.09810
          Ex_d1      17           3.83917     3.83917     0.00000     0.00000   0.12000   0.00005       0.00000     0.00380
          Ex_d1      18           4.11590     4.11590     0.00000     0.00000   0.07700   0.00122      10.83790     0.10890
          Ex_d1      19           4.22580     4.22580     0.00000     0.00000   0.05001   0.06969       2.09939     0.05843
          Ex_d2       1           0.00000     0.03000     0.03972     0.03000   0.05524   0.01088       0.00000     0.00222
          Ex_d2       2           0.93720     0.93720     0.00000     0.00000   0.08404   0.00986       2.02564     0.65053
          Ex_d2       3           1.04155     1.04155     0.00000     0.00000   0.11963   0.03510       7.54416     1.53030
          Ex_d2       4           1.08054     1.08054     0.00000     0.00000   0.11918   0.05281       0.00000    10.17900
          Ex_d2       5           1.12136     1.12136     0.00000     0.00000   0.09342   0.00606       0.00001    21.21670
          Ex_d2       6           1.40000     1.40000     0.00000     0.00000   0.05000   0.03544      21.42760     2.09953
          Ex_d2       7           1.60000     1.60000     0.00000     0.00000   0.05000   0.03501       0.07963     0.23130
          Ex_d2       8           1.90000     1.90000     0.00000     0.00000   0.12000   0.04314       0.00000     0.14671
          Ex_d2       9           1.70081     1.70081     0.00000     0.00000   0.07173   0.04586       0.12845     0.27095
          Ex_d2      10           2.10061     2.10061     0.00000     0.00000   0.08371   0.04837       0.50966     0.44238
          Ex_d2      11           2.52335     2.52335     0.00000     0.00000   0.05927   0.05720       0.04641     0.23163
          Ex_d2      12           3.06184     3.06184     0.00000     0.00000   0.07794   0.00893       0.63425     0.86211
          Ex_d2      13           3.13387     3.13387     0.00000     0.00000   0.08159   0.05076       8.58925     1.59211
          Ex_d2      14           3.35820     3.35820     0.00000     0.00000   0.12000   0.06995       0.43327     1.14946
          Ex_d2      15           3.72419     3.72419     0.00000     0.00000   0.07782   0.05536       0.02516     0.85437
          Ex_d2      16           3.79149     3.79149     0.00000     0.00000   0.05000   0.03502       3.12722     2.60668
          Ex_d2      17           3.83917     3.83917     0.00000     0.00000   0.12000   0.00516       0.00000     0.52627
          Ex_d2      18           4.11590     4.11590     0.00000     0.00000   0.06935   0.00680       9.13328     1.97363
          Ex_d2      19           4.22580     4.22580     0.00000     0.00000   0.05000   0.03502      18.13430     2.40723
          Ex_d2      20           4.36015     4.36015     0.00000     0.00000   0.05006   0.03503       0.00000     0.31457
          Ex_d2      21           4.39810     4.39810     0.00000     0.00000   0.11598   0.05776       0.00000     0.54275
          Ex_d2      22           4.65200     4.65200     0.00000     0.00000   0.08851   0.00535       5.66062     3.03965
          Ex_d2      23           4.75300     4.75300     0.00000     0.00000   0.05000   0.03501      39.23220     3.35234
          Ex_d2      24           4.84830     4.84830     0.00000     0.00000   0.05000   0.03502       0.00000     0.24386
          Ex_d2      25           4.86000     4.86000     0.00000     0.00000   0.05000   0.04358       0.00000     1.15394
          Ex_d2      26           4.96360     4.96360     0.00000     0.00000   0.07059   0.00590       1.62271     1.85061
          Ex_d2      27           5.29760     5.29760     0.00000     0.00000   0.10866   0.03505      13.05500     1.69991
          Ex_d3       1           0.00000     0.03000     0.00861     0.03000   0.05730   0.05458       0.88629     0.49222
          Ex_d3       2           0.93720     0.93720     0.00000     0.00000   0.05000   0.00486       0.56812     0.62088
          Ex_d3       3           1.04155     1.04155     0.00000     0.00000   0.05000   0.05986       1.06862     0.67782
          Ex_d3       4           1.08054     1.08054     0.00000     0.00000   0.11323   0.06440       0.00000     0.43291
          Ex_d3       5           1.12136     1.12136     0.00000     0.00000   0.12000   0.00980       0.00000     0.92531
          Ex_d3       6           1.40000     1.40000     0.00000     0.00000   0.12000   0.05723      21.51370     2.25614
          Ex_d3       7           1.60000     1.60000     0.00000     0.00000   0.05000   0.05954       0.36168     0.43652
          Ex_d3       8           1.90000     1.90000     0.00000     0.00000   0.05000   0.05449       0.00000     0.21703
          Ex_d3       9           1.70081     1.70081     0.00000     0.00000   0.05000   0.05213       0.08009     0.30422
          Ex_d3      10           2.10061     2.10061     0.00000     0.00000   0.12000   0.05928       0.07540     0.21731
          Ex_d3      11           2.52335     2.52335     0.00000     0.00000   0.05000   0.05054       0.08881     0.23636
          Ex_d3      12           3.06184     3.06184     0.00000     0.00000   0.07561   0.01369       0.12964     0.21954
          Ex_d3      13           3.13387     3.13387     0.00000     0.00000   0.06161   0.02164       3.99577     1.26295
          Ex_d3      14           3.35820     3.35820     0.00000     0.00000   0.08863   0.02635       2.39997     1.25195
          Ex_d3      15           3.72419     3.72419     0.00000     0.00000   0.06254   0.02246       0.95751     0.47290
          Ex_d3      16           3.79149     3.79149     0.00000     0.00000   0.05000   0.05976       1.27136     1.53317
          Ex_d3      17           3.83917     3.83917     0.00000     0.00000   0.08999   0.02040       0.00000     2.89936
          Ex_d3      18           4.11590     4.11590     0.00000     0.00000   0.06416   0.01233      10.59190     2.68839
          Ex_d3      19           4.22580     4.22580     0.00000     0.00000   0.05767   0.05841      13.77460     3.06054
          Ex_d3      20           4.36015     4.36015     0.00000     0.00000   0.09486   0.05563       1.75569     2.45089
          Ex_d3      21           4.39810     4.39810     0.00000     0.00000   0.06494   0.06225       2.25239     1.56045
          Ex_d3      22           4.65200     4.65200     0.00000     0.00000   0.06908   0.00443       0.00000     2.67164
          Ex_d3      23           4.75300     4.75300     0.00000     0.00000   0.05000   0.05972      26.29750     2.45720
          Ex_d3      24           4.84830     4.84830     0.00000     0.00000   0.05001   0.05944       0.00000     1.80418
          Ex_d3      25           4.86000     4.86000     0.00000     0.00000   0.06282   0.02202       0.00000     4.00651
          Ex_d3      26           4.96360     4.96360     0.00000     0.00000   0.05936   0.00796       3.19368     1.50087
