      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
-------------------------------------------------------------------------------------------
          Ex_d0       1           0.00000     0.03000     0.00873     0.03000   0.11999   0.04304       0.00000     0.00000
          Ex_d0       2           0.93720     0.94315     0.04762     0.00594   0.07179   0.01693       3.54755     1.38790
          Ex_d0       3           1.04155     1.01155     0.04176    -0.03000   0.05054   0.06353       9.77714     6.24426
          Ex_d0       4           1.08054     1.09906     0.01497     0.01852   0.05000   0.00718       6.46233    11.37820
          Ex_d0       5           1.12136     1.15130     0.04234     0.02994   0.09158   0.00967       8.25021     2.73603
          Ex_d0       6           1.40000     1.37274     0.00103    -0.02726   0.05000   0.00001      20.67990     4.06645
          Ex_d0       7           1.60000     1.60323     0.01284     0.00323   0.05000   0.00001       0.28554     0.41231
          Ex_d0       8           1.90000     1.92774     0.00120     0.02774   0.05000   0.00001       0.43207     0.22335
          Ex_d0       9           1.70081     1.73078     0.00007     0.02997   0.05000   0.00001       0.33636     0.19823
          Ex_d0      10           2.10061     2.12008     0.00317     0.01947   0.05000   0.00001       0.00063     0.34461
          Ex_d0      11           2.52335     2.55249     0.00082     0.02914   0.05000   0.00002       0.01238     0.04873
          Ex_d1       1           0.00000     0.02741     0.00852     0.02741   0.05632   0.01008       0.05893     0.14608
          Ex_d1       2           0.93720     0.90720     0.01163    -0.03000   0.05265   0.00462       2.74488     0.79586
          Ex_d1       3           1.04155     1.02715     0.01248    -0.01440   0.05000   0.04584       5.20158     0.97003
          Ex_d1       4           1.08054     1.09820     0.03251     0.01766   0.05002   0.00719       8.92221     8.46432
          Ex_d1       5           1.12136     1.15136     0.00371     0.03000   0.07581   0.00641       2.67783     3.18050
          Ex_d1       6           1.40000     1.41675     0.03651     0.01675   0.05000   0.00007      17.57650     3.20861
          Ex_d1       7           1.60000     1.57000     0.00007    -0.03000   0.05000   0.00005       0.69891     0.29850
          Ex_d1       8           1.90000     1.87864     0.01520    -0.02136   0.05000   0.00005       0.62028     0.45264
          Ex_d1       9           1.70081     1.69239     0.04019    -0.00842   0.05000   0.00003       1.03677     0.51346
          Ex_d1      10           2.10061     2.13061     0.00012     0.03000   0.08638   0.02834       0.58274     0.27242
          Ex_d1      11           2.52335     2.51623     0.04790    -0.00712   0.05008   0.00012       0.69960     0.39486
          Ex_d1      12           3.06184     3.03184     0.00136    -0.03000   0.09702   0.00838       0.16020     0.16372
          Ex_d1      13           3.13387     3.16280     0.00437     0.02893   0.05000   0.00013      10.24240     1.44709
          Ex_d1      14           3.35820     3.38820     0.04578     0.03000   0.06733   0.01680       0.00000     0.09222
          Ex_d1      15           3.72419     3.69419     0.00038    -0.03000   0.12000   0.01241       1.50403     0.59162
          Ex_d1      16           3.83917     3.82148     0.00111    -0.01769   0.05000   0.00017       7.78041     1.55437
          Ex_d1      17           3.83917     3.86917     0.01215     0.03000   0.09216   0.01829       0.00000     2.71629
          Ex_d1      18           4.11590     4.08590     0.03791    -0.03000   0.08133   0.01494       8.54347     2.12083
          Ex_d1      19           4.22580     4.19585     0.00060    -0.02995   0.05006   0.00016       2.93841     1.00068
          Ex_d2       1           0.00000     0.02993     0.00040     0.02993   0.05437   0.00507       0.03208     0.27819
          Ex_d2       2           0.93720     0.94532     0.01941     0.00812   0.08244   0.01489       1.99830     0.46728
          Ex_d2       3           1.04155     1.01475     0.04487    -0.02680   0.11693   0.04606       8.93783     2.25274
          Ex_d2       4           1.04155     1.06081     0.01700     0.01926   0.05012   0.00048       0.43310     1.21258
          Ex_d2       5           1.12136     1.15019     0.00279     0.02883   0.08210   0.00594       3.59930     1.79747
          Ex_d2       6           1.40000     1.37000     0.00003    -0.03000   0.05000   0.00002      15.95150     2.06819
          Ex_d2       7           1.60000     1.57206     0.00075    -0.02794   0.05000   0.00000       0.06541     0.11495
          Ex_d2       8           1.90000     1.87002     0.00067    -0.02998   0.05000   0.00001       0.00022     0.01612
          Ex_d2       9           1.70081     1.73081     0.00003     0.03000   0.05000   0.00001       0.09815     0.08694
          Ex_d2      10           2.10061     2.13061     0.00001     0.03000   0.05000   0.00001       0.54469     0.24005
          Ex_d2      11           2.52335     2.50114     0.01095    -0.02221   0.05005   0.04610       0.06496     0.05856
          Ex_d2      12           3.06184     3.04322     0.00920    -0.01862   0.05908   0.00934       0.79672     0.84733
          Ex_d2      13           3.13387     3.16386     0.04037     0.02999   0.05416   0.01014       7.12976     1.54275
          Ex_d2      14           3.35820     3.38820     0.00001     0.03000   0.05000   0.00001       1.95323     0.91556
          Ex_d2      15           3.72419     3.69420     0.00256    -0.02999   0.08290   0.01654       0.00015     0.01135
          Ex_d2      16           3.79149     3.76149     0.00047    -0.03000   0.05000   0.00005       3.21465     1.25958
          Ex_d2      17           3.83917     3.86917     0.00013     0.03000   0.11841   0.01037       1.35770     0.95209
          Ex_d2      18           4.11590     4.10549     0.00611    -0.01041   0.06947   0.00684       7.81734     1.71768
          Ex_d2      19           4.22580     4.20858     0.00394    -0.01722   0.05078   0.00057      17.87270     2.30234
          Ex_d2      20           4.36015     4.33017     0.05567    -0.02998   0.10986   0.03711       0.03663     0.38679
          Ex_d2      21           4.39810     4.42810     0.00010     0.03000   0.05000   0.00007       3.56178     1.56320
          Ex_d2      22           4.65200     4.62212     0.00806    -0.02988   0.07737   0.00506       1.46469     0.87175
          Ex_d2      23           4.75300     4.73140     0.01054    -0.02160   0.05000   0.00013      35.37290     3.21276
          Ex_d2      24           4.84830     4.81830     0.00051    -0.03000   0.05001   0.00012       4.27876     1.50159
          Ex_d2      25           4.86000     4.89000     0.00017     0.03000   0.05000   0.00008       0.00243     0.02722
          Ex_d2      26           4.96360     4.94880     0.01012    -0.01480   0.08313   0.00788       2.16760     1.40406
          Ex_d2      27           5.29760     5.29469     0.00714    -0.00291   0.08090   0.01412      14.19870     2.41799
          Ex_d3       1           0.00000     0.03000     0.00011     0.03000   0.05940   0.01497       0.69894     0.36707
          Ex_d3       2           0.93720     0.94139     0.01280     0.00419   0.05000   0.00116       0.55962     0.32430
          Ex_d3       3           1.04155     1.02353     0.03339    -0.01802   0.05000   0.00019       2.69166     0.90831
          Ex_d3       4           1.12136     1.10990     0.04582    -0.01146   0.10424   0.05204       0.21965     0.92243
          Ex_d3       5           1.12136     1.15136     0.00520     0.03000   0.11473   0.00617       0.00613     2.06309
          Ex_d3       6           1.40000     1.37001     0.00007    -0.02999   0.05000   0.00002      20.64870     1.98824
          Ex_d3       7           1.60000     1.57000     0.00001    -0.03000   0.05000   0.00001       0.00001     0.57871
          Ex_d3       8           1.90000     1.92924     0.00660     0.02924   0.05000   0.00001       0.03721     0.09377
          Ex_d3       9           1.70081     1.70248     0.02305     0.00167   0.05000   0.00001       0.09251     0.20830
          Ex_d3      10           2.10061     2.13061     0.00001     0.03000   0.05000   0.00001       0.08609     0.17140
          Ex_d3      11           2.52335     2.49335     0.00003    -0.03000   0.05000   0.00005       0.07116     0.14826
          Ex_d3      12           3.06184     3.08322     0.03195     0.02138   0.09427   0.02261       0.20842     0.22469
          Ex_d3      13           3.13387     3.10398     0.04776    -0.02989   0.05001   0.00019       4.41072     2.65059
          Ex_d3      14           3.35820     3.34437     0.03878    -0.01383   0.09749   0.04564       2.03542     1.68910
          Ex_d3      15           3.72419     3.70199     0.04879    -0.02220   0.05000   0.00014       0.98746     0.69002
          Ex_d3      16           3.83917     3.81650     0.04992    -0.02267   0.05003   0.00014       1.63421     1.90270
          Ex_d3      17           3.83917     3.84327     0.04181     0.00410   0.07933   0.02221       0.51568     2.03427
          Ex_d3      18           4.11590     4.11052     0.00722    -0.00538   0.06429   0.00838       9.38899     3.86365
          Ex_d3      19           4.22580     4.25438     0.00953     0.02858   0.05015   0.00054      14.38530     2.33722
          Ex_d3      20           4.36015     4.33015     0.00011    -0.03000   0.05000   0.00004       2.32100     1.04016
          Ex_d3      21           4.39810     4.42810     0.00011     0.03000   0.07661   0.02536       0.23133     0.65564
          Ex_d3      22           4.65200     4.63026     0.00833    -0.02174   0.05626   0.00580       1.56955     0.83049
